"","age","income","children","credit_history","overdue_payments","active_loans","years_in_job","owns_property","assets_value","other_loans","credit_risk","education_podstawowe","education_średnie","education_wyższe","city_duże","city_małe","city_średnie","marital_status_kawaler/panna","marital_status_rozwiedziony/rozwiedziona","marital_status_żonaty/zamężna","employment_type_brak","employment_type_określona","employment_type_samozatrudnienie","employment_type_stała"
"1",38,18906,4,0,1,0,1,1,18906,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"2",55,23276,3,1,0,2,10,1,23276,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"3",55,36330,0,0,1,1,15,1,36330,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"4",47,14900,3,0,1,2,9,0,14900,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"5",35,14417,0,1,1,1,6,0,14417,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"6",35,33715,0,1,1,2,10,0,33715,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"7",42,11408,1,1,0,3,16,1,11408,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"8",30,15407,0,0,1,1,11,0,15407,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"9",41,40000,3,0,1,1,15,0,40000,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"10",28,24903,1,1,0,1,15,1,24903,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"11",37,21129,1,1,1,3,17,1,21129,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"12",58,35341,0,1,1,0,17,1,35341,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"13",20,18836,0,1,1,2,4,0,18836,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"14",41,40000,0,1,1,2,10,0,40000,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"15",41,19764,0,0,1,0,11,1,19764,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
"16",50,24461,3,1,1,3,19,0,24461,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"17",22,27360,0,1,0,5,5,1,27360,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
"18",46,12734,0,1,1,1,3,1,12734,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"19",50,12679,0,1,0,3,10,1,12679,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
"20",49,27358,1,1,0,0,8,1,27358,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"21",31,19706,0,0,0,2,12,0,19706,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"22",49,10723,0,1,0,0,7,1,10723,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"23",38,24816,0,0,1,1,5,1,24816,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"24",28,40000,0,1,1,0,0,1,40000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
"25",53,21456,1,0,1,1,15,1,21456,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"26",43,24534,0,1,0,1,12,1,24534,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"27",43,17668,4,0,1,1,7,1,17668,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"28",55,12604,0,0,0,1,11,1,12604,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"29",36,20809,2,0,1,2,11,1,20809,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"30",25,40000,2,1,0,0,9,1,40000,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"31",37,16455,0,1,1,0,8,0,16455,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"32",39,40000,1,0,1,0,10,0,40000,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"33",20,15549,0,1,0,2,14,1,15549,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"34",43,23428,1,1,1,1,10,1,23428,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"35",39,27509,0,0,1,2,9,1,27509,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"36",28,27362,0,0,0,2,6,1,27362,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"37",51,15114,3,1,1,3,11,1,15114,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"38",30,27900,1,1,1,2,12,1,27900,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"39",34,12396,0,1,1,1,11,1,12396,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"40",24,25904,1,1,1,1,12,0,25904,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"41",30,13014,0,1,0,1,12,0,13014,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"42",27,11521,2,1,1,1,13,0,11521,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"43",53,32094,0,0,1,0,14,0,32094,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"44",23,16196,4,1,0,3,11,0,16196,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"45",42,24664,0,1,0,3,9,1,24664,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"46",27,12275,1,1,0,3,11,1,12275,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"47",45,9262,0,0,1,1,12,1,9262,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"48",42,18095,0,1,1,3,7,0,18095,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"49",43,14366,0,0,1,0,7,0,14366,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"50",31,20930,1,1,1,3,11,0,20930,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"51",44,28297,1,1,1,1,8,1,28297,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"52",48,40000,1,1,1,3,6,0,40000,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"53",58,23349,1,1,1,0,1,1,23349,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"54",32,17042,1,0,0,3,9,1,17042,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"55",39,30333,0,0,1,3,9,1,30333,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"56",43,26323,3,1,1,4,4,0,26323,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"57",48,19924,1,1,1,5,8,1,19924,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1
"58",54,28992,0,1,1,2,10,1,28992,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
"59",31,24636,2,0,0,2,4,1,24636,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
"60",44,30014,0,1,1,1,7,1,30014,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"61",35,14499,0,1,0,2,8,1,14499,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
"62",27,21830,0,0,1,1,8,1,21830,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"63",41,18633,0,1,1,3,12,0,18633,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"64",43,29226,2,0,1,1,10,1,29226,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"65",31,25241,1,0,0,1,7,1,25241,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
"66",41,36872,1,1,1,2,8,0,36872,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"67",40,40000,0,1,1,2,6,1,40000,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"68",28,25680,0,1,0,1,10,0,25680,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
"69",50,22642,0,1,1,0,5,0,22642,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"70",30,40000,5,1,0,1,15,1,40000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"71",36,8461,0,0,0,1,13,0,8461,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
"72",47,13595,0,1,1,2,19,1,13595,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"73",37,5595,2,1,0,2,9,1,5595,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"74",23,27314,2,0,1,0,6,0,27314,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"75",35,40000,0,1,1,2,3,1,40000,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
"76",45,17339,0,1,1,0,6,1,17339,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
"77",27,40000,0,0,1,1,9,1,40000,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
"78",35,11313,2,1,1,0,9,1,11313,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"79",33,30203,1,0,1,4,12,0,30203,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"80",49,36213,0,0,0,3,8,1,36213,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"81",50,14999,0,1,0,0,13,1,14999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
"82",56,17795,0,0,1,2,8,0,17795,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
"83",25,18120,3,1,1,3,12,0,18120,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"84",44,29303,0,1,1,1,3,0,29303,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"85",33,26789,2,1,1,7,5,1,26789,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
"86",20,25771,0,1,1,3,14,0,25771,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"87",38,21019,0,0,0,1,2,1,21019,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"88",37,13369,4,1,0,1,10,1,13369,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"89",43,23191,0,0,0,1,6,1,23191,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"90",48,37920,1,0,1,1,13,1,37920,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"91",34,13511,2,1,0,4,11,1,13511,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
"92",46,13594,0,1,0,2,14,0,13594,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
"93",39,24819,2,1,1,2,10,0,24819,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"94",52,22188,0,0,1,2,18,0,22188,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"95",45,20387,0,1,1,1,23,0,20387,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"96",43,38811,4,1,0,2,3,0,38811,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"97",38,40000,1,1,0,0,15,0,40000,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"98",40,24984,0,1,1,1,12,0,24984,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"99",29,24128,1,0,1,1,9,0,24128,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"100",27,11417,2,0,0,4,3,0,11417,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"101",49,24343,0,0,0,1,5,1,24343,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"102",38,21300,0,1,1,4,11,0,21300,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"103",31,17581,0,1,1,1,15,1,17581,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"104",42,8096,3,1,1,1,8,1,8096,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"105",42,15904,0,0,1,1,10,0,15904,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
"106",42,15729,2,1,1,2,14,1,15729,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"107",32,32551,0,1,1,1,6,1,32551,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"108",37,19777,5,1,1,1,21,1,19777,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
"109",54,10275,0,0,1,1,13,0,10275,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
"110",38,14325,0,1,1,3,9,0,14325,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"111",29,40000,2,0,1,0,10,1,40000,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"112",31,23417,1,0,0,4,5,1,23417,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"113",45,23009,0,0,1,1,12,1,23009,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"114",55,15284,0,1,0,2,10,1,15284,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"115",38,24900,1,0,0,1,18,0,24900,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"116",32,40000,0,1,0,1,8,0,40000,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"117",32,29368,0,1,1,1,2,1,29368,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
"118",48,35607,3,1,1,0,3,1,35607,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"119",31,20469,0,0,0,1,12,1,20469,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"120",18,13892,3,0,1,1,16,0,13892,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"121",41,20585,0,1,1,2,9,1,20585,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"122",31,6338,2,1,0,0,15,1,6338,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"123",53,40000,3,0,1,1,13,0,40000,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"124",34,21177,0,1,1,0,16,0,21177,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"125",35,17840,1,0,0,1,12,0,17840,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"126",46,37142,0,1,1,1,6,0,37142,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"127",29,23397,1,1,1,0,14,0,23397,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"128",45,24265,3,1,1,0,6,1,24265,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"129",47,22058,0,1,1,1,13,1,22058,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"130",28,24075,2,1,1,2,13,1,24075,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"131",52,16918,0,1,0,0,11,1,16918,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"132",37,22174,2,0,1,0,14,0,22174,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"133",46,13667,0,0,1,1,4,1,13667,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"134",46,17137,0,1,1,2,12,0,17137,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"135",22,11788,1,1,1,2,6,1,11788,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"136",39,15840,0,0,1,1,14,0,15840,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"137",39,16800,0,0,0,2,6,1,16800,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"138",43,32427,0,1,1,2,16,1,32427,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"139",30,13023,0,1,1,0,7,1,13023,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"140",29,19675,0,1,1,2,22,1,19675,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"141",39,27662,1,1,1,3,1,0,27662,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
